a_id,q_id,predict_label,truth_label,c_ref_1,c_ref_2,p_ref_1,p_ref_2,p_ref_3,i_ref_1,i_ref_2,max_sim,close_ref
R_ywhx9VDaHWzGaA1_q4_b,q4_b,0.0,0.0,0.0003897861752193421,0.00039048935286700726,0.6198347806930542,0.6148281693458557,0.6148281693458557,0.6108033061027527,0.7906050682067871,0.7906050682067871,i_ref_2
R_ywhx9VDaHWzGaA1_q4_a,q4_a,0.0,0.0,0.00036115996772423387,0.0003324048302602023,0.6946886777877808,0.6760563254356384,0.6760563254356384,0.9185550212860107,0.9185550212860107,0.9185550212860107,i_ref_1
R_ywhx9VDaHWzGaA1_q3_b,q3_b,0.0,0.0,9.698510984890163e-05,9.847180626820773e-05,0.9925781488418579,0.9891800284385681,0.9891800284385681,9.85365841188468e-05,9.85300648608245e-05,0.9925781488418579,p_ref_1
R_ywhx9VDaHWzGaA1_q3_a,q3_a,0.0,0.0,3.127785385004245e-05,3.1061514164321125e-05,0.8177668452262878,0.9628028273582458,0.9628028273582458,0.43693816661834717,0.43693816661834717,0.9628028273582458,p_ref_2
R_ywhx9VDaHWzGaA1_q2_b,q2_b,1.0,1.0,0.0,0.0,0.9992961287498474,0.9993035197257996,0.9993035197257996,0.9974399209022522,0.9988123774528503,0.9993035197257996,p_ref_2
R_ywhx9VDaHWzGaA1_q2_a,q2_a,1.0,1.0,0.00017047715664375573,0.00016258122923318297,0.9904616475105286,0.9909815788269043,0.9909815788269043,0.9791876077651978,0.9844204783439636,0.9909815788269043,p_ref_2
R_xm82LFs2y0hIHTj_q4_b,q4_b,1.0,1.0,0.0,0.0,0.9985531568527222,0.9989081025123596,0.9989081025123596,0.999060332775116,0.9487214088439941,0.999060332775116,i_ref_1
R_xm82LFs2y0hIHTj_q4_a,q4_a,1.0,1.0,0.0,0.0,0.9942203164100647,0.9972578287124634,0.9972578287124634,0.8733858466148376,0.8733858466148376,0.9972578287124634,p_ref_2
R_xm82LFs2y0hIHTj_q2_a,q2_a,1.0,1.0,0.0,0.0,0.9954031109809875,0.9967029094696045,0.9967029094696045,0.985050618648529,0.990867555141449,0.9967029094696045,p_ref_2
R_3rUlCptV9w2bxNi_q4_b,q4_b,1.0,1.0,0.0,0.0,0.9995315670967102,0.9995132088661194,0.9995132088661194,0.9992959499359131,0.9660210013389587,0.9995315670967102,p_ref_1
