a_id,q_id,predict_label,truth_label,c_ref_1,c_ref_2,p_ref_1,p_ref_2,p_ref_3,i_ref_1,i_ref_2,max_sim,close_ref
R_ywhx9VDaHWzGaA1_q4_b,q4_b,1.0,0.0,0.7247079610824585,0.7755683064460754,0.7329100966453552,0.7097253203392029,0.40730127692222595,0.8382236957550049,0.843686044216156,0.843686044216156,i_ref_2
R_ywhx9VDaHWzGaA1_q4_a,q4_a,1.0,0.0,0.74727463722229,0.6782762408256531,0.8311365842819214,0.6864008903503418,0.4024759829044342,0.7220314741134644,0.7220314741134644,0.8311365842819214,p_ref_1
R_ywhx9VDaHWzGaA1_q3_b,q3_b,1.0,0.0,0.7279086709022522,0.7167302370071411,0.6498005986213684,0.6579634547233582,0.3956195116043091,0.7434989213943481,0.8450202345848083,0.8450202345848083,i_ref_2
R_ywhx9VDaHWzGaA1_q3_a,q3_a,0.0,0.0,0.8689702153205872,0.875298023223877,0.865365207195282,0.8786937594413757,0.4255683720111847,0.8688047528266907,0.8688047528266907,0.8786937594413757,p_ref_2
R_ywhx9VDaHWzGaA1_q2_b,q2_b,0.0,1.0,0.7764425277709961,0.8328648805618286,0.7845174670219421,0.809327244758606,0.4157467782497406,0.7672139406204224,0.8219995498657227,0.8328648805618286,c_ref_2
R_ywhx9VDaHWzGaA1_q2_a,q2_a,0.0,1.0,0.8752522468566895,0.8775688409805298,0.8633943200111389,0.8554776906967163,0.40878042578697205,0.8796550631523132,0.888981282711029,0.888981282711029,i_ref_2
R_p0F9tEDSzE8p5Id_q4_a,q4_a,0.0,0.0,0.8714794516563416,0.81891930103302,0.8320412039756775,0.8392988443374634,0.41931387782096863,0.8518467545509338,0.8518467545509338,0.8714794516563416,c_ref_1
R_p0F9tEDSzE8p5Id_q3_b,q3_b,1.0,0.0,0.6311780214309692,0.6202654838562012,0.5507383942604065,0.5555148720741272,0.3903556168079376,0.6757588386535645,0.8052787780761719,0.8052787780761719,i_ref_2
R_p0F9tEDSzE8p5Id_q3_a,q3_a,0.0,1.0,0.8388198614120483,0.8416553139686584,0.8171023726463318,0.8562224507331848,0.4342029094696045,0.8481677770614624,0.8481677770614624,0.8562224507331848,p_ref_2
R_2Bsdca66eX1sB7s_q4_b,q4_b,0.0,1.0,0.8776549696922302,0.8785946369171143,0.8725805282592773,0.8744261860847473,0.4044770896434784,0.8465855717658997,0.8198226690292358,0.8785946369171143,c_ref_2
R_22VbknHbB1YFg9f_q3_b,q3_b,0.0,0.0,0.7916826009750366,0.7905992269515991,0.7969719767570496,0.7566453814506531,0.42794230580329895,0.847044050693512,0.7436826825141907,0.847044050693512,i_ref_2
R_22VbknHbB1YFg9f_q2_b,q2_b,0.0,1.0,0.871720016002655,0.858120322227478,0.8899831175804138,0.8781355023384094,0.4261794984340668,0.8860529661178589,0.8775701522827148,0.8899831175804138,p_ref_1
R_22VbknHbB1YFg9f_q2_a,q2_a,0.0,0.0,0.877738356590271,0.8713374137878418,0.8768936395645142,0.8786765336990356,0.4318481981754303,0.8771585822105408,0.8524399995803833,0.8786765336990356,p_ref_2
R_22Pq2yLMva5B2tB_q4_b,q4_b,0.0,1.0,0.8731145262718201,0.8811231851577759,0.8612637519836426,0.8773470520973206,0.42610684037208557,0.842884361743927,0.8082680106163025,0.8811231851577759,c_ref_2
R_22Pq2yLMva5B2tB_q4_a,q4_a,0.0,0.0,0.8615919947624207,0.8870363831520081,0.7785478830337524,0.8788735866546631,0.4169655442237854,0.8798055052757263,0.8798055052757263,0.8870363831520081,c_ref_2
R_2b1uYLiJtEkFfG2_q4_b,q4_b,0.0,0.0,0.8659466505050659,0.8734634518623352,0.8554619550704956,0.8607005476951599,0.41973698139190674,0.8564388751983643,0.8223168849945068,0.8734634518623352,c_ref_2
R_28LE4NyOf0wpTW8_q4_b,q4_b,0.0,0.0,0.8304286003112793,0.8613073825836182,0.8107336163520813,0.844471275806427,0.4415242373943329,0.8587026000022888,0.7812318205833435,0.8613073825836182,c_ref_2
R_28LE4NyOf0wpTW8_q3_a,q3_a,0.0,0.0,0.8707873821258545,0.8814465403556824,0.8818542957305908,0.8713517785072327,0.4278593361377716,0.8591755628585815,0.8591755628585815,0.8818542957305908,p_ref_1
R_28LE4NyOf0wpTW8_q2_b,q2_b,0.0,1.0,0.8739371299743652,0.8671542406082153,0.8422995209693909,0.8704132437705994,0.44447582960128784,0.7962355613708496,0.8394478559494019,0.8739371299743652,c_ref_1
R_27BtfyWgcvxUuIX_q3_b,q3_b,0.0,0.0,0.8207301497459412,0.8242425322532654,0.8394145965576172,0.8052807450294495,0.4294974207878113,0.8495818376541138,0.7191722989082336,0.8495818376541138,i_ref_2
