q_id,q_acc,predict_label,predict_label_numbers,c_ref_1,c_ref_2,p_ref_1,p_ref_2,p_ref_3,i_ref_1,i_ref_2,closest_ref
q2_a,0.7857,0.0,59,0.0,0.0,0.8123,0.9901,1.2801,0.9933,0.9921,p_ref_3
q2_a,0.7857,1.0,24,0.0063,0.0063,0.9966,0.8667,1.0675,0.84,0.8535,p_ref_3
q2_a,0.7857,2.0,29,0.9961,0.996,0.0158,0.014,-0.2256,0.0136,0.0138,c_ref_1
q2_b,0.8879,0.0,26,0.0,0.0,0.8442,0.8458,0.5641,0.8541,0.8532,i_ref_1
q2_b,0.8879,1.0,80,0.0014,0.0014,0.9975,0.9976,1.5794,0.9972,0.9972,p_ref_3
q2_b,0.8879,2.0,1,0.8633,0.8635,0.4302,0.4299,0.0214,0.428,0.4279,c_ref_1
q3_a,0.8073,0.0,99,0.0,0.0,0.8511,0.9939,0.5431,0.0,0.0,p_ref_2
q3_a,0.8073,2.0,10,0.9969,0.9969,0.0076,0.0065,-0.8114,0.9966,0.9966,c_ref_1
q3_b,0.8218,0.0,67,0.0007,0.0007,0.9907,0.9873,0.9999,0.0007,0.0007,p_ref_3
q3_b,0.8218,1.0,3,0.1947,0.1949,0.8552,0.8563,0.5348,0.1947,0.1948,p_ref_2
q3_b,0.8218,2.0,31,0.9699,0.97,0.0461,0.0466,-0.8266,0.9699,0.9699,c_ref_1
q4_a,0.9035,0.0,46,0.0001,0.0,0.8402,0.8369,0.5254,0.994,0.994,i_ref_1
q4_a,0.9035,1.0,56,0.0022,0.0022,0.9969,0.9976,1.4676,0.8405,0.8405,p_ref_3
q4_a,0.9035,2.0,12,0.9784,0.9877,0.0416,0.0417,-0.3574,0.0362,0.0362,c_ref_1
q4_b,0.9182,0.0,55,0.0,0.0,0.825,0.8274,0.5325,0.972,0.9401,i_ref_1
q4_b,0.9182,1.0,48,0.0087,0.0087,0.9964,0.9963,0.9376,0.9246,0.9611,p_ref_1
q4_b,0.9182,2.0,7,0.9979,0.9982,0.0089,0.0089,-0.302,0.0085,0.0088,c_ref_1
